0.000000	0.000000
0.001050	0.000010
0.004194	0.000084
0.009422	0.000283
0.016711	0.000669
0.026032	0.001303
0.037349	0.002244
0.050615	0.003549
0.065779	0.005274
0.082780	0.007470
0.101549	0.010189
0.122013	0.013476
0.144089	0.017374
0.167690	0.021923
0.192723	0.027159
0.219087	0.033112
0.246679	0.039809
0.275389	0.047272
0.305105	0.055520
0.335708	0.064563
0.367079	0.074411
0.399095	0.085064
0.431629	0.096521
0.464555	0.108772
0.497745	0.121806
0.531069	0.135604
0.564398	0.150142
0.597603	0.165392
0.630557	0.181320
0.663134	0.197888
0.695207	0.215053
0.726657	0.232768
0.757362	0.250982
0.787209	0.269639
0.816085	0.288679
0.843882	0.308041
0.870498	0.327658
0.895835	0.347461
0.919801	0.367380
0.942311	0.387342
0.963283	0.407270
0.982645	0.427088
1.000330	0.446720
1.016277	0.466086
1.030434	0.485108
1.042755	0.503708
1.053203	0.521808
1.061748	0.539332
1.068366	0.556203
1.073043	0.572348
1.075771	0.587696
1.076550	0.602177
1.075388	0.615726
1.072300	0.628279
1.067309	0.639777
1.060445	0.650165
1.051745	0.659391
1.041251	0.667409
1.029014	0.674177
1.015089	0.679659
0.999540	0.683822
0.982433	0.686641
0.963842	0.688096
0.943844	0.688171
0.922522	0.686858
0.899962	0.684155
0.876254	0.680065
0.851491	0.674598
0.825770	0.667768
0.799188	0.659599
0.771846	0.650117
0.743846	0.639357
0.715290	0.627358
0.686282	0.614166
0.656924	0.599831
0.627320	0.584409
0.597571	0.567962
0.567778	0.550556
0.538040	0.532262
0.508453	0.513155
0.479113	0.493313
0.450109	0.472819
0.421530	0.451760
0.393461	0.430223
0.365982	0.408301
0.339168	0.386086
0.313092	0.363674
0.287820	0.341160
0.263414	0.318642
0.239930	0.296218
0.217420	0.273984
0.195930	0.252038
0.175498	0.230475
0.156159	0.209389
0.137942	0.188874
0.120868	0.169020
0.104955	0.149914
0.090214	0.131640
0.076649	0.114280
0.064260	0.097911
0.053040	0.082606
0.042979	0.068432
0.034059	0.055453
0.026258	0.043727
0.019550	0.033306
0.013903	0.024238
0.009282	0.016563
0.005646	0.010315
0.002951	0.005522
0.001151	0.002207
0.000195	0.000384
0.000030	0.000061
0.000600	0.001240
0.001847	0.003916
0.003711	0.008075
0.006131	0.013701
0.009045	0.020766
0.012389	0.029239
0.016101	0.039081
0.020116	0.050248
0.024372	0.062688
0.028806	0.076345
0.033357	0.091157
0.037966	0.107057
0.042573	0.123970
0.047123	0.141821
0.051562	0.160527
0.055838	0.180003
0.059904	0.200160
0.063713	0.220905
0.067223	0.242144
0.070396	0.263779
0.073196	0.285710
0.075593	0.307838
0.077559	0.330061
0.079070	0.352276
0.080108	0.374381
0.080658	0.396276
0.080708	0.417859
0.080251	0.439031
0.079287	0.459695
0.077815	0.479755
0.075841	0.499120
0.073376	0.517700
0.070432	0.535409
0.067026	0.552167
0.063179	0.567895
0.058916	0.582522
0.054262	0.595980
0.049248	0.608208
0.043907	0.619147
0.038273	0.628749
0.032384	0.636969
0.026278	0.643770
0.019997	0.649118
0.013582	0.652991
0.007076	0.655371
0.000523	0.656245
-0.006034	0.655611
-0.012551	0.653471
-0.018983	0.649835
-0.025288	0.644719
-0.031425	0.638148
-0.037351	0.630152
-0.043028	0.620767
-0.048418	0.610037
-0.053487	0.598012
-0.058200	0.584746
-0.062528	0.570301
-0.066442	0.554743
-0.069920	0.538144
-0.072938	0.520581
-0.075481	0.502134
-0.077534	0.482888
-0.079086	0.462932
-0.080132	0.442358
-0.080669	0.421261
-0.080699	0.399737
-0.080229	0.377885
-0.079268	0.355806
-0.077830	0.333602
-0.075936	0.311374
-0.073606	0.289224
-0.070868	0.267254
-0.067752	0.245566
-0.064293	0.224257
-0.060529	0.203427
-0.056501	0.183170
-0.052255	0.163579
-0.047839	0.144745
-0.043303	0.126752
-0.038701	0.109684
-0.034089	0.093619
-0.029525	0.078629
-0.025068	0.064783
-0.020779	0.052145
-0.016722	0.040772
-0.012958	0.030716
-0.009551	0.022022
-0.006564	0.014730
-0.004061	0.008874
-0.002104	0.004479
-0.000755	0.001566
-0.000073	0.000148
-0.000118	0.000232
-0.000944	0.001816
-0.002606	0.004895
-0.005155	0.009453
-0.008638	0.015471
-0.013100	0.022921
-0.018581	0.031770
-0.025118	0.041978
-0.032742	0.053500
-0.041483	0.066283
-0.051361	0.080271
-0.062395	0.095400
-0.074597	0.111605
-0.087975	0.128812
-0.102529	0.146945
-0.118256	0.165925
-0.135145	0.185666
-0.153182	0.206081
-0.172344	0.227082
-0.192604	0.248575
-0.213928	0.270467
-0.236279	0.292662
-0.259611	0.315062
-0.283873	0.337572
-0.309011	0.360092
-0.334964	0.382527
-0.361665	0.404780
-0.389043	0.426755
-0.417024	0.448359
-0.445527	0.469501
-0.474468	0.490090
-0.503762	0.510042
-0.533315	0.529271
-0.563036	0.547700
-0.592826	0.565253
-0.622589	0.581857
-0.652223	0.597446
-0.681627	0.611958
-0.710698	0.625336
-0.739333	0.637528
-0.767428	0.648488
-0.794882	0.658176
-0.821591	0.666556
-0.847456	0.673601
-0.872378	0.679286
-0.896261	0.683596
-0.919010	0.686521
-0.940535	0.688055
-0.960749	0.688200
-0.979570	0.686965
-0.996918	0.684362
-1.012720	0.680411
-1.026907	0.675137
-1.039417	0.668572
-1.050192	0.660750
-1.059182	0.651713
-1.066341	0.641507
-1.071632	0.630182
-1.075024	0.617793
-1.076494	0.604399
-1.076025	0.590062
-1.073608	0.574848
-1.069241	0.558825
-1.062932	0.542064
